X	Y	layer1	layer2	layer3	layer4	layer5	elevation	Clay	elevation	MO	CTC	Log_layer3
618783.669	6721299.338	0.80	1.70	1.80	1.70	2.30	100.43	47.51	100.43	3.00	29.64	0.255272505
618834.4126	6721382.364	1.00	1.40	1.70	1.70	2.00	101.23	28.02	101.23	2.60	20.90	0.230448921
619012.4074	6721376.266	1.10	1.70	4.80	0.00	0.00	102.44	38.00	102.44	2.50	17.30	0.681241237
619195.6203	6721378.31	1.40	1.70	1.80	1.80	1.80	105.23	26.02	105.23	2.60	15.21	0.255272505
619239.3355	6721255.27	1.50	2.10	2.20	2.20	2.30	104.34	39.90	104.34	2.21	21.66	0.342422681
619371.7888	6721555.423	0.90	2.10	5.10	4.30	3.00	110.54	32.03	110.54	1.91	16.22	0.707570176
619449.5601	6721639.157	0.60	1.10	2.30	2.30	4.00	112.30	35.99	112.30	2.80	19.89	0.361727836
619553.035	6721745.114	0.60	1.80	2.50	2.90	3.90	111.39	34.00	111.39	2.60	20.20	0.397940009
619625.9221	6721833.664	0.30	2.20	2.00	2.20	3.90	111.38	36.99	111.38	2.80	21.49	0.301029996
619459.2666	6721823.249	0.30	1.50	1.70	1.70	1.60	112.99	32.05	112.99	2.30	14.98	0.230448921
619188.4048	6721920.334	1.10	1.30	1.40	1.30	1.40	115.19	30.04	115.19	1.90	26.76	0.146128036
619374.2596	6722097.012	0.80	2.40	2.60	2.30	2.80	114.16	47.89	114.16	2.10	15.64	0.414973348
619188.1044	6722274.874	1.20	2.30	5.10	5.00	3.00	113.08	42.94	113.08	2.40	23.76	0.707570176
619016.7607	6722279.463	1.50	2.70	2.90	4.30	4.30	113.14	48.00	113.14	1.70	25.50	0.462397998
618923.9145	6722189.569	2.20	2.40	2.10	2.50	2.40	113.90	36.04	113.90	1.70	17.35	0.322219295
618828.1394	6722462.998	0.40	2.30	2.30	1.20	3.50	110.32	36.05	110.32	1.90	16.94	0.361727836
618647.3673	6722272.182	0.80	2.80	2.80	2.80	3.10	111.49	37.11	111.49	1.62	17.67	0.447158031
618565.6324	6722198.016	2.10	2.40	3.90	3.90	2.00	107.84	38.00	107.84	1.70	17.21	0.591064607
618492.3211	6722105.363	1.50	3.50	3.50	2.10	3.00	106.20	37.16	106.20	1.83	17.56	0.544068044
618475.8364	6721736.372	2.00	2.00	2.30	2.10	1.80	101.47	36.03	101.47	1.71	14.83	0.361727836
618564.3771	6721831.856	2.00	2.40	2.50	2.10	2.10	105.79	36.00	105.79	1.91	16.62	0.397940009
618654.5078	6721555.719	0.60	2.80	4.00	4.30	3.90	100.41	35.98	100.41	3.19	14.57	0.602059991
618547.6299	6721438.264	0.90	3.80	2.80	3.20	4.20	95.88	22.05	95.88	3.00	21.30	0.447158031
618922.2471	6721648.639	2.10	2.10	1.80	1.70	2.20	108.81	35.98	108.81	1.72	14.70	0.255272505
619018.0217	6721558.628	1.00	1.70	1.70	1.80	1.90	108.61	32.00	108.61	3.40	20.10	0.230448921
619017.3183	6721738.73	4.50	3.60	3.50	3.70	4.10	111.09	39.96	111.09	2.30	26.33	0.544068044
618736.5646	6721834.468	1.80	2.20	2.60	2.50	2.20	107.75	31.03	107.75	2.10	17.31	0.414973348
618833.8026	6721918.886	2.80	3.80	3.50	2.30	2.70	116.41	31.01	116.41	2.40	19.20	0.544068044
618915.2466	6721828.586	1.30	2.20	2.80	2.10	3.10	120.62	36.00	120.62	1.80	14.07	0.447158031
619004.3291	6722075.119	1.30	2.10	2.30	3.20	4.20	113.80	38.14	113.80	2.15	20.00	0.361727836
617711.8254	6721971.721	1.60	1.90	2.20	2.00	2.40	106.53	48.00	106.53	2.50	16.01	0.342422681
617592.7277	6721971.861	1.50	2.20	2.70	3.90	3.90	106.13	43.01	106.13	2.70	16.60	0.431363764
617527.4232	6721838.445	1.90	2.20	2.50	2.60	3.70	105.00	42.00	105.00	3.00	16.41	0.397940009
617711.9943	6721803.262	1.40	2.00	3.70	3.10	5.10	105.10	59.97	105.10	3.10	18.40	0.568201724
617712.1515	6721633.695	1.90	1.80	2.10	2.20	3.30	98.73	47.00	98.73	4.40	21.90	0.322219295
617790.1457	6721407.898	1.80	2.10	1.90	2.30	3.60	96.80	55.96	96.80	4.89	26.85	0.278753601
617897.9824	6721350.243	1.60	1.80	2.20	2.40	3.20	96.62	49.00	96.62	2.70	18.10	0.342422681
618218.7138	6721465.452	2.00	2.00	1.90	3.90	5.10	104.05	48.99	104.05	3.70	22.20	0.278753601
618385.9793	6721442.631	1.60	1.80	1.80	1.90	2.10	97.19	42.99	97.19	3.00	20.10	0.255272505
618218.5527	6721633.911	1.80	1.80	1.90	1.90	2.40	105.81	44.00	105.81	2.70	16.80	0.278753601
617970.4837	6721707.452	1.70	2.30	2.20	2.70	3.30	118.01	42.01	118.01	3.90	20.50	0.342422681
618049.919	6721803.036	1.20	1.30	1.60	1.80	2.10	115.46	41.01	115.46	4.50	18.50	0.204119983
618387.844	6721802.8	1.60	2.30	2.10	2.20	2.50	100.29	47.98	100.29	3.30	20.99	0.322219295
618049.755	6721971.495	1.00	2.20	2.20	3.30	3.30	105.67	46.99	105.67	3.10	19.50	0.342422681
617881.2801	6721972.158	1.30	2.60	3.10	2.50	2.30	111.17	37.04	111.17	3.20	20.69	0.491361694
617881.1135	6722140.617	1.70	2.00	2.80	3.40	5.10	102.77	40.03	102.77	3.20	18.79	0.447158031
618222.6877	6722118.182	1.80	3.10	3.10	3.60	5.10	104.66	54.98	104.66	2.30	14.00	0.491361694
617880.633	6721634.143	1.80	2.00	2.00	2.30	3.60	104.92	55.98	104.92	3.10	18.10	0.301029996
619334.4266	6722342.475	1.50	2.10	2.90	2.20	3.20	114.46	31.03	114.46	3.40	21.28	0.462397998
619061.2091	6722602.128	1.10	1.10	1.70	2.70	3.70	112.19	36.00	112.19	3.10	22.60	0.230448921
619373.1102	6722641.298	1.60	1.80	1.60	2.10	3.40	122.85	34.00	122.85	4.30	19.20	0.204119983
619551.4476	6722868.443	1.30	1.30	1.50	1.80	3.50	122.69	34.00	122.69	3.70	20.20	0.176091259
619732.9936	6722639.311	1.80	1.80	2.60	3.30	5.10	122.53	34.00	122.53	3.10	21.20	0.414973348
619731.1411	6722465.701	1.60	2.10	2.20	2.40	3.50	118.01	35.99	118.01	3.20	18.82	0.342422681
619553.574	6722462.052	1.50	1.80	1.90	2.00	3.50	118.39	36.00	118.39	3.30	22.89	0.278753601
